"0126 Huddinge","green fodder",10,..,..,..,..,..,..,..,..,3,11,11,..,..
"0126 Huddinge","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","utilized pasture",..,..,..,..,..,..,88,99,80,..,..,..,..,..
"0126 Huddinge","utilized ley for hay and pasture",309,303,344,352,347,332,..,..,..,305,298,273,263,341
"0126 Huddinge","not utilized ley for hay and pasture",20,12,2,37,19,17,16,11,3,2,..,..,..,..
"0126 Huddinge","ley for seeds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","table potatoes",2,1,1,1,1,1,1,..,1,..,1,..,..,..
"0126 Huddinge","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","winter rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","spring rape",5,..,..,..,..,17,17,19,..,7,10,..,..,..
"0126 Huddinge","winter turnip rape",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","spring turnip rape",..,14,..,12,17,..,..,..,..,14,..,..,..,..
"0126 Huddinge","oil flax",..,..,..,..,..,..,..,..,..,8,..,..,..,..
"0126 Huddinge","horticulture plants",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","other crops",2,6,2,1,1,2,2,2,1,..,2,2,..,..
"0126 Huddinge","energy forest",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0126 Huddinge","fallow land",9,12,14,..,13,5,1,1,25,18,30,26,28,52
"0126 Huddinge","other untilled arable land",3,..,23,9,37,37,37,37,6,..,..,0,0,..
"0126 Huddinge","unspecified arable land",..,..,..,..,..,..,..,..,..,..,17,3,3,..
"0127 Botkyrka","total arable land",3995,3233,3215,3258,3230,3020,3222,3204,3160,3166,3059,2938,2881,3013
"0127 Botkyrka","winter wheat",430,352,605,812,250,422,499,296,249,500,644,544,659,460
"0127 Botkyrka","spring wheat",337,247,80,64,97,71,64,118,94,121,16,55,7,..
"0127 Botkyrka","rye",41,40,85,119,68,57,98,79,31,92,42,73,51,..
"0127 Botkyrka","winter barley",..,..,..,..,..,..,8,..,..,13,..,..,17,..
"0127 Botkyrka","barley",921,775,411,368,467,347,..,..,..,..,..,..,..,..
"0127 Botkyrka","spring barley",..,..,..,..,..,..,329,404,515,406,393,298,162,386
"0127 Botkyrka","oats",839,592,593,554,517,451,396,515,503,481,461,427,422,194
"0127 Botkyrka","mixed grain and triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","ley for hay and forage plants",..,..,..,..,..,..,468,480,412,..,..,..,..,..
"0127 Botkyrka","triticale",..,..,..,..,..,..,5,..,..,..,..,11,81,74
"0127 Botkyrka","mixed grain",..,..,..,..,..,..,..,..,..,..,14,..,14,14
"0127 Botkyrka","field peas for cooking, fodder peas, vetches and field beans",..,75,48,66,17,16,22,..,..,14,46,54,55,..
"0127 Botkyrka","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","green fodder",27,10,36,30,17,..,..,..,..,3,0,27,38,..
"0127 Botkyrka","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","utilized pasture",..,..,..,..,..,..,275,273,314,..,..,..,..,..
"0127 Botkyrka","utilized ley for hay and pasture",515,449,457,528,575,639,..,..,..,676,755,633,658,776
"0127 Botkyrka","not utilized ley for hay and pasture",7,2,20,21,3,11,2,11,7,8,..,..,..,..
"0127 Botkyrka","ley for seeds",5,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","table potatoes",19,8,12,11,10,14,14,11,9,6,2,3,2,1
"0127 Botkyrka","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0127 Botkyrka","winter rape",..,..,22,35,15,15,10,28,35,42,11,24,15,..
"0127 Botkyrka","spring rape",186,74,123,107,178,84,171,62,66,66,29,37,106,170
"0127 Botkyrka","winter turnip rape",..,37,145,45,61,9,..,..,..,24,..,37,..,..
"0127 Botkyrka","spring turnip rape",356,325,221,126,89,89,90,136,130,83,48,52,55,..
"0127 Botkyrka","oil flax",..,..,..,..,..,..,..,..,..,80,..,..,..,..
"0127 Botkyrka","horticulture plants",..,..,..,..,..,..,..,..,..,5,4,5,3,..
"0127 Botkyrka","other crops",1,..,6,3,12,36,59,74,89,10,4,..,..,..
"0127 Botkyrka","energy forest",..,..,..,..,..,..,..,..,..,119,113,74,71,71
"0127 Botkyrka","fallow land",295,218,345,358,138,75,50,99,604,365,395,487,436,768
"0127 Botkyrka","other untilled arable land",16,29,6,11,716,684,662,620,103,54,..,56,6,2
"0127 Botkyrka","unspecified arable land",..,..,..,..,..,..,..,..,..,..,84,41,22,..
"0128 Salem","total arable land",..,719,719,704,698,731,730,737,717,756,705,721,713,723
"0128 Salem","winter wheat",..,49,153,166,65,109,88,..,14,102,206,93,185,111
"0128 Salem","spring wheat",..,89,9,..,1,..,..,8,8,33,20,34,..,37
"0128 Salem","rye",..,..,4,8,..,..,10,..,11,..,15,..,20,..
"0128 Salem","winter barley",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","barley",..,232,100,88,103,82,..,..,..,..,..,..,..,..
"0128 Salem","spring barley",..,..,..,..,..,..,84,159,169,146,31,101,30,89
"0128 Salem","oats",..,127,120,100,90,86,84,93,74,57,132,153,129,77
"0128 Salem","mixed grain and triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","ley for hay and forage plants",..,..,..,..,..,..,107,98,91,..,..,..,..,..
"0128 Salem","triticale",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","mixed grain",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","field peas for cooking, fodder peas, vetches and field beans",..,22,22,21,..,..,..,..,..,12,..,14,..,..
"0128 Salem","green peas",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","white beans",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","green fodder",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","utilized ley for hay",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","utilized pasture",..,..,..,..,..,..,63,65,80,..,..,..,..,..
"0128 Salem","utilized ley for hay and pasture",..,54,37,42,118,142,..,..,..,130,118,143,169,159
"0128 Salem","not utilized ley for hay and pasture",..,9,62,63,..,5,7,22,23,..,..,..,..,..
"0128 Salem","ley for seeds",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","table potatoes",..,4,5,7,7,7,7,7,5,2,3,3,2,..
"0128 Salem","potatoes for processing of starch",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0128 Salem","sugar beets",..,..,..,..,..,..,..,..,..,..,..,..,..,..
